date,bitcoin,btc,buy bitcoin,sell bitcoin,isPartial
2018-01-13 06:00:00,51,14,2,0,False
2018-01-13 07:00:00,51,14,2,0,False
2018-01-13 08:00:00,47,12,1,0,False
2018-01-13 09:00:00,44,12,1,0,False
2018-01-13 10:00:00,44,11,1,0,False
2018-01-13 11:00:00,44,11,1,0,False
2018-01-13 12:00:00,44,10,1,0,False
2018-01-13 13:00:00,45,10,1,0,False
2018-01-13 14:00:00,47,10,1,0,False
2018-01-13 15:00:00,48,10,1,0,False
2018-01-13 16:00:00,47,9,1,0,False
2018-01-13 17:00:00,46,9,1,0,False
2018-01-13 18:00:00,46,9,1,0,False
2018-01-13 19:00:00,46,9,1,0,False
2018-01-13 20:00:00,47,9,2,0,False
2018-01-13 21:00:00,48,9,2,0,False
2018-01-13 22:00:00,50,9,2,0,False
2018-01-13 23:00:00,51,10,2,0,False
2018-01-14 00:00:00,50,10,2,0,False
2018-01-14 01:00:00,48,10,2,0,False
2018-01-14 02:00:00,48,11,2,0,False
2018-01-14 03:00:00,49,11,2,0,False
2018-01-14 04:00:00,51,12,2,0,False
2018-01-14 05:00:00,53,12,2,0,False
2018-01-14 06:00:00,48,12,2,0,False
2018-01-14 07:00:00,46,12,2,0,False
2018-01-14 08:00:00,44,11,1,0,False
2018-01-14 09:00:00,44,11,1,0,False
2018-01-14 10:00:00,41,10,1,0,False
2018-01-14 11:00:00,41,10,1,0,False
2018-01-14 12:00:00,44,9,1,0,False
2018-01-14 13:00:00,43,9,1,0,False
2018-01-14 14:00:00,42,9,1,0,False
2018-01-14 15:00:00,44,9,1,0,False
2018-01-14 16:00:00,46,9,1,0,False
2018-01-14 17:00:00,42,8,1,0,False
2018-01-14 18:00:00,42,8,1,0,False
2018-01-14 19:00:00,43,8,1,0,False
2018-01-14 20:00:00,45,9,1,0,False
2018-01-14 21:00:00,46,9,1,0,False
2018-01-14 22:00:00,48,10,2,0,False
2018-01-14 23:00:00,51,11,2,0,False
2018-01-15 00:00:00,47,10,2,0,False
2018-01-15 00:00:00,25,5,1,0,False
2018-01-15 01:00:00,24,5,1,0,False
2018-01-15 02:00:00,25,6,1,0,False
2018-01-15 03:00:00,25,6,1,0,False
2018-01-15 04:00:00,26,6,1,0,False
2018-01-15 05:00:00,25,7,1,0,False
2018-01-15 06:00:00,24,7,1,0,False
2018-01-15 07:00:00,23,6,1,0,False
2018-01-15 08:00:00,22,6,1,0,False
2018-01-15 09:00:00,22,6,1,0,False
2018-01-15 10:00:00,22,5,0,0,False
2018-01-15 11:00:00,22,5,0,0,False
2018-01-15 12:00:00,22,5,0,0,False
2018-01-15 13:00:00,22,5,0,0,False
2018-01-15 14:00:00,23,5,1,0,False
2018-01-15 15:00:00,22,5,1,0,False
2018-01-15 16:00:00,23,5,1,0,False
2018-01-15 17:00:00,23,4,1,0,False
2018-01-15 18:00:00,23,4,1,0,False
2018-01-15 19:00:00,24,4,1,0,False
2018-01-15 20:00:00,23,5,1,0,False
2018-01-15 21:00:00,25,5,1,0,False
2018-01-15 22:00:00,25,5,1,0,False
2018-01-15 23:00:00,25,5,1,0,False
2018-01-16 00:00:00,27,5,1,0,False
2018-01-16 01:00:00,30,6,1,0,False
2018-01-16 02:00:00,30,6,1,0,False
2018-01-16 03:00:00,29,6,1,0,False
2018-01-16 04:00:00,31,7,1,0,False
2018-01-16 05:00:00,30,7,1,0,False
2018-01-16 06:00:00,29,7,1,0,False
2018-01-16 07:00:00,28,6,1,0,False
2018-01-16 08:00:00,48,9,1,0,False
2018-01-16 09:00:00,52,10,1,0,False
2018-01-16 10:00:00,53,10,1,0,False
2018-01-16 11:00:00,44,9,1,0,False
2018-01-16 12:00:00,43,8,1,0,False
2018-01-16 13:00:00,45,7,1,0,False
2018-01-16 14:00:00,46,8,1,0,False
2018-01-16 15:00:00,44,7,1,0,False
2018-01-16 16:00:00,42,7,1,0,False
2018-01-16 17:00:00,47,7,1,0,False
2018-01-16 18:00:00,53,8,1,0,False
2018-01-16 19:00:00,46,7,1,0,False
2018-01-16 20:00:00,50,7,1,0,False
2018-01-16 21:00:00,79,11,1,0,False
2018-01-16 22:00:00,100,15,2,0,False
2018-01-16 23:00:00,72,12,1,0,False
2018-01-17 00:00:00,62,11,1,0,False
2018-01-17 01:00:00,57,10,1,0,False
2018-01-17 02:00:00,58,11,1,0,False
2018-01-17 03:00:00,66,12,1,0,False
2018-01-17 04:00:00,62,12,1,0,False
2018-01-17 05:00:00,60,12,1,0,False
2018-01-17 06:00:00,55,11,1,0,False
2018-01-17 07:00:00,50,10,1,0,False
2018-01-17 08:00:00,47,10,1,0,False
2018-01-17 09:00:00,46,9,1,0,False
2018-01-17 10:00:00,52,10,1,0,False
2018-01-17 11:00:00,53,9,1,0,False
2018-01-17 12:00:00,52,9,1,0,False
2018-01-17 13:00:00,54,9,1,0,False
2018-01-17 14:00:00,78,11,1,0,False
2018-01-17 15:00:00,86,12,1,0,False
2018-01-17 16:00:00,75,11,1,0,False
2018-01-17 17:00:00,68,10,1,0,False
2018-01-17 18:00:00,68,9,1,0,False
2018-01-17 19:00:00,64,9,1,0,False
2018-01-17 20:00:00,63,10,1,0,False
2018-01-17 21:00:00,66,10,1,0,False
2018-01-17 22:00:00,66,11,1,0,False
2018-01-17 23:00:00,59,10,1,0,False
2018-01-18 00:00:00,55,9,1,0,False
2018-01-18 01:00:00,53,10,1,0,False
2018-01-18 02:00:00,54,10,1,0,False
2018-01-18 03:00:00,54,11,1,0,False
2018-01-18 04:00:00,54,11,1,0,False
2018-01-18 05:00:00,53,11,1,0,False
2018-01-18 06:00:00,50,10,1,0,False
2018-01-18 07:00:00,48,10,1,0,False
2018-01-18 08:00:00,44,9,1,0,False
2018-01-18 09:00:00,41,9,1,0,False
2018-01-18 10:00:00,39,8,1,0,False
2018-01-18 11:00:00,41,8,1,0,False
2018-01-18 12:00:00,42,8,1,0,False
2018-01-18 13:00:00,41,7,1,0,False
2018-01-18 14:00:00,41,7,1,0,False
2018-01-18 15:00:00,42,7,1,0,False
2018-01-18 16:00:00,40,7,1,0,False
2018-01-18 17:00:00,39,6,1,0,False
2018-01-18 18:00:00,38,6,1,0,False
2018-01-18 19:00:00,38,6,1,0,False
2018-01-18 20:00:00,39,7,1,0,False
2018-01-18 21:00:00,41,7,1,0,False
2018-01-18 22:00:00,41,7,1,0,False
2018-01-18 23:00:00,39,7,1,0,False
2018-01-19 00:00:00,37,7,1,0,False
2018-01-19 01:00:00,36,7,1,0,False
2018-01-19 02:00:00,36,7,1,0,False
2018-01-19 03:00:00,38,8,1,0,False
2018-01-19 04:00:00,38,8,1,0,False
2018-01-19 05:00:00,37,8,1,0,False
2018-01-19 06:00:00,36,8,1,0,False
2018-01-19 07:00:00,34,7,1,0,False
2018-01-19 08:00:00,32,7,1,0,False
2018-01-19 09:00:00,30,7,1,0,False
2018-01-19 10:00:00,29,6,0,0,False
2018-01-19 11:00:00,29,6,0,0,False
2018-01-19 12:00:00,30,6,1,0,False
2018-01-19 13:00:00,29,6,1,0,False
2018-01-19 14:00:00,30,5,1,0,False
2018-01-19 15:00:00,30,5,1,0,False
2018-01-19 16:00:00,29,5,1,0,False
2018-01-19 17:00:00,30,5,1,0,False
2018-01-19 18:00:00,31,5,1,0,False
2018-01-19 19:00:00,29,5,1,0,False
2018-01-19 20:00:00,30,5,1,0,False
2018-01-19 21:00:00,31,5,1,0,False
2018-01-19 22:00:00,32,5,1,0,False
2018-01-19 23:00:00,30,5,1,0,False
2018-01-20 00:00:00,30,5,1,0,False
2018-01-20 01:00:00,28,5,1,0,False
2018-01-20 02:00:00,27,5,1,0,False
2018-01-20 03:00:00,28,6,1,0,False
2018-01-20 04:00:00,29,6,1,0,False
2018-01-20 05:00:00,32,8,1,0,False
2018-01-20 06:00:00,30,8,1,0,False
2018-01-20 07:00:00,28,7,1,0,False
2018-01-20 08:00:00,27,7,1,0,False
2018-01-20 09:00:00,25,6,1,0,False
2018-01-20 10:00:00,24,6,1,0,False
2018-01-20 11:00:00,23,5,0,0,False
2018-01-20 12:00:00,23,5,0,0,False
2018-01-20 13:00:00,23,5,0,0,False
2018-01-20 14:00:00,24,5,1,0,False
2018-01-20 15:00:00,23,5,0,0,False
2018-01-20 16:00:00,24,5,1,0,False
2018-01-20 17:00:00,25,5,1,0,False
2018-01-20 18:00:00,25,5,1,0,False
2018-01-20 19:00:00,26,5,1,0,False
2018-01-20 20:00:00,26,5,1,0,False
2018-01-20 21:00:00,27,5,1,0,False
2018-01-20 22:00:00,28,5,1,0,False
2018-01-20 23:00:00,28,5,1,0,False
2018-01-21 00:00:00,27,5,1,0,False
2018-01-21 01:00:00,27,5,1,0,False
2018-01-21 02:00:00,26,5,1,0,False
2018-01-21 03:00:00,26,5,1,0,False
2018-01-21 04:00:00,27,6,1,0,False
2018-01-21 05:00:00,27,6,1,0,False
2018-01-21 06:00:00,26,6,1,0,False
2018-01-21 07:00:00,27,6,1,0,False
2018-01-21 08:00:00,24,6,0,0,False
2018-01-21 09:00:00,24,5,0,0,False
2018-01-21 10:00:00,22,5,0,0,False
2018-01-21 11:00:00,21,5,0,0,False
2018-01-21 12:00:00,21,5,0,0,False
2018-01-21 13:00:00,21,4,0,0,False
2018-01-21 14:00:00,22,4,0,0,False
2018-01-21 15:00:00,22,4,1,0,False
2018-01-21 16:00:00,25,4,1,0,False
2018-01-21 17:00:00,25,4,1,0,False
2018-01-21 18:00:00,24,4,1,0,False
