,compound,neg,neu,pos,published
168,0.0,0.0,1.0,0.0,2018-05-11T20:20:00.000+03:00
169,0.0,0.0,1.0,0.0,2018-05-11T20:18:00.000+03:00
170,0.0,0.0,0.0,0.0,2018-05-11T20:18:00.000+03:00
171,-0.8979,0.11,0.859,0.031,2018-05-11T20:17:00.000+03:00
172,0.9984,0.023,0.819,0.158,2018-05-11T20:16:00.000+03:00
173,0.4186,0.041,0.899,0.06,2018-05-11T20:16:00.000+03:00
174,0.9928,0.026,0.868,0.106,2018-05-11T20:15:00.000+03:00
175,0.9782,0.057,0.835,0.108,2018-05-11T20:15:00.000+03:00
176,0.8712,0.0,0.812,0.188,2018-05-11T20:14:00.000+03:00
177,0.948,0.033,0.883,0.084,2018-05-11T20:14:00.000+03:00
178,0.5994,0.025,0.929,0.046,2018-05-11T20:13:00.000+03:00
179,0.4588,0.054,0.826,0.121,2018-05-11T20:13:00.000+03:00
180,0.9206,0.037,0.863,0.101,2018-05-11T20:13:00.000+03:00
181,0.0,0.0,1.0,0.0,2018-05-11T20:11:00.000+03:00
182,0.4215,0.038,0.879,0.083,2018-05-11T20:10:00.000+03:00
183,0.9841,0.032,0.854,0.114,2018-05-11T20:10:00.000+03:00
184,0.9918,0.016,0.869,0.114,2018-05-11T20:10:00.000+03:00
185,-0.3545,0.07,0.856,0.074,2018-05-11T20:09:00.000+03:00
186,0.9956,0.041,0.86,0.099,2018-05-11T20:08:00.000+03:00
187,-0.9424,0.132,0.8,0.068,2018-05-11T20:03:00.000+03:00
188,0.7624,0.089,0.593,0.318,2018-05-11T20:02:00.000+03:00
189,-0.6907,0.056,0.893,0.051,2018-05-11T20:00:00.000+03:00
190,0.9941,0.044,0.868,0.088,2018-05-11T20:00:00.000+03:00
191,0.9691,0.005,0.926,0.07,2018-05-11T20:00:00.000+03:00
192,0.9548,0.029,0.879,0.093,2018-05-11T19:59:00.000+03:00
193,0.9705,0.008,0.962,0.031,2018-05-11T19:58:00.000+03:00
194,0.9982,0.019,0.818,0.163,2018-05-11T19:57:00.000+03:00
195,0.0,0.0,1.0,0.0,2018-05-11T19:57:00.000+03:00
196,0.9246,0.0,0.83,0.17,2018-05-11T19:57:00.000+03:00
197,-0.3987,0.093,0.862,0.045,2018-05-11T19:56:00.000+03:00
198,0.8982,0.045,0.878,0.077,2018-05-11T19:55:00.000+03:00
199,0.8689,0.0,0.722,0.278,2018-05-11T19:53:00.000+03:00
200,0.9393,0.048,0.835,0.117,2018-06-03T09:12:00.000+03:00
201,0.9823,0.043,0.836,0.121,2018-06-03T09:10:00.000+03:00
202,0.5524,0.065,0.871,0.063,2018-06-03T08:54:00.000+03:00
203,-0.6398,0.15,0.811,0.039,2018-06-03T08:53:00.000+03:00
204,0.0,0.0,1.0,0.0,2018-06-03T08:50:00.000+03:00
205,-0.9186,0.333,0.667,0.0,2018-06-03T08:50:00.000+03:00
206,-0.9786,0.112,0.856,0.033,2018-06-03T08:42:00.000+03:00
207,0.9992,0.027,0.834,0.14,2018-06-03T08:37:00.000+03:00
208,0.3976,0.098,0.786,0.116,2018-06-03T08:29:00.000+03:00
209,0.7608,0.0,0.919,0.081,2018-06-03T08:24:00.000+03:00
210,0.0,0.0,1.0,0.0,2018-06-03T08:21:00.000+03:00
211,-0.91,0.123,0.789,0.088,2018-06-03T08:14:00.000+03:00
212,-0.8519,0.186,0.792,0.022,2018-06-03T08:14:00.000+03:00
213,-0.9747,0.101,0.872,0.026,2018-06-03T08:13:00.000+03:00
214,0.9802,0.0,0.879,0.121,2018-06-03T08:12:00.000+03:00
215,0.9623,0.055,0.852,0.093,2018-06-03T08:10:00.000+03:00
216,0.2577,0.0,0.925,0.075,2018-06-03T08:08:00.000+03:00
217,0.9798,0.044,0.84,0.116,2018-06-03T08:08:00.000+03:00
218,-0.5296,0.064,0.885,0.051,2018-06-03T08:08:00.000+03:00
219,0.9445,0.031,0.745,0.224,2018-06-03T08:06:00.000+03:00
220,0.0,0.0,1.0,0.0,2018-06-03T08:06:00.000+03:00
221,0.6369,0.0,0.843,0.157,2018-06-03T08:05:00.000+03:00
222,-0.802,0.148,0.813,0.039,2018-06-03T08:03:00.000+03:00
223,0.9445,0.031,0.745,0.224,2018-06-03T08:02:00.000+03:00
224,0.0,0.0,1.0,0.0,2018-06-03T08:02:00.000+03:00
225,0.0,0.0,0.0,0.0,2018-06-03T07:56:00.000+03:00
226,0.9659,0.018,0.858,0.124,2018-06-03T07:51:00.000+03:00
227,0.8625,0.0,0.683,0.317,2018-06-03T07:50:00.000+03:00
228,-0.6269,0.076,0.89,0.034,2018-06-03T07:48:00.000+03:00
229,0.34,0.0,0.947,0.053,2018-06-03T07:45:00.000+03:00
230,-0.3612,0.015,0.978,0.007,2018-06-03T07:42:00.000+03:00
231,-0.8807,0.311,0.689,0.0,2018-06-03T07:40:00.000+03:00
232,0.5574,0.0,0.889,0.111,2018-06-03T07:39:00.000+03:00
233,-0.9609,0.124,0.801,0.075,2018-06-03T07:35:00.000+03:00
234,0.0772,0.011,0.978,0.012,2018-06-03T07:30:00.000+03:00
235,0.0,0.0,1.0,0.0,2018-06-03T07:29:00.000+03:00
236,0.0,0.0,0.0,0.0,2018-06-03T07:26:00.000+03:00
237,0.0,0.0,0.0,0.0,2018-06-03T07:26:00.000+03:00
238,0.3632,0.0,0.958,0.042,2018-06-03T07:24:00.000+03:00
239,0.9153,0.016,0.84,0.145,2018-06-03T07:24:00.000+03:00
240,0.0,0.0,0.0,0.0,2018-06-03T07:24:00.000+03:00
241,0.9179,0.0,0.778,0.222,2018-06-03T07:23:00.000+03:00
242,0.7845,0.051,0.885,0.064,2018-06-03T07:21:00.000+03:00
243,0.0,0.0,1.0,0.0,2018-06-03T07:20:00.000+03:00
244,0.3182,0.0,0.944,0.056,2018-06-03T07:18:00.000+03:00
245,0.3818,0.0,0.939,0.061,2018-06-03T07:15:00.000+03:00
246,0.8751,0.03,0.894,0.077,2018-06-03T07:12:00.000+03:00
247,-0.4939,0.016,0.976,0.008,2018-06-03T07:10:00.000+03:00
248,0.8687,0.0,0.9,0.1,2018-06-03T07:10:00.000+03:00
249,-0.4939,0.021,0.968,0.011,2018-06-03T07:08:00.000+03:00
250,0.0,0.0,0.0,0.0,2018-06-03T07:03:00.000+03:00
251,0.6369,0.0,0.89,0.11,2018-06-03T07:00:00.000+03:00
252,0.8928,0.0,0.76,0.24,2018-06-03T06:59:00.000+03:00
253,0.3536,0.022,0.93,0.048,2018-06-03T06:56:00.000+03:00
254,0.3536,0.022,0.93,0.048,2018-06-03T06:56:00.000+03:00
255,0.3536,0.022,0.93,0.048,2018-06-03T06:56:00.000+03:00
256,0.3818,0.015,0.952,0.033,2018-06-03T06:56:00.000+03:00
257,0.3536,0.022,0.93,0.048,2018-06-03T06:56:00.000+03:00
258,0.3536,0.022,0.93,0.048,2018-06-03T06:56:00.000+03:00
259,0.3536,0.022,0.93,0.048,2018-06-03T06:56:00.000+03:00
260,-0.0516,0.042,0.92,0.038,2018-06-03T06:49:00.000+03:00
261,0.0,0.0,1.0,0.0,2018-06-03T06:39:00.000+03:00
262,0.8989,0.033,0.91,0.057,2018-06-03T06:37:00.000+03:00
263,0.9892,0.039,0.771,0.19,2018-06-03T06:35:00.000+03:00
264,0.9892,0.039,0.771,0.19,2018-06-03T06:35:00.000+03:00
265,0.9892,0.039,0.771,0.19,2018-06-03T06:35:00.000+03:00
266,0.9957,0.005,0.861,0.135,2018-06-03T06:30:00.000+03:00
267,0.9957,0.009,0.855,0.136,2018-06-03T06:30:00.000+03:00
268,0.6369,0.0,0.956,0.044,2018-06-03T06:29:00.000+03:00
269,0.0,0.0,1.0,0.0,2018-06-03T06:23:00.000+03:00
270,0.9855,0.028,0.838,0.135,2018-06-03T06:16:00.000+03:00
271,0.0,0.0,1.0,0.0,2018-06-03T06:14:00.000+03:00
272,0.4767,0.074,0.826,0.1,2018-06-03T06:12:00.000+03:00
273,0.994,0.027,0.86,0.113,2018-06-03T06:12:00.000+03:00
274,0.9955,0.032,0.819,0.149,2018-06-03T06:12:00.000+03:00
275,0.9469,0.038,0.866,0.095,2018-06-03T06:12:00.000+03:00
276,0.9927,0.044,0.822,0.134,2018-06-03T06:12:00.000+03:00
277,0.9651,0.0,0.736,0.264,2018-06-03T06:03:00.000+03:00
278,0.0,0.0,1.0,0.0,2018-06-03T05:47:00.000+03:00
279,0.7345,0.0,0.708,0.292,2018-06-03T05:29:00.000+03:00
280,0.3716,0.0,0.931,0.069,2018-06-03T05:25:00.000+03:00
281,-0.4002,0.141,0.778,0.081,2018-06-03T05:24:00.000+03:00
282,0.0,0.0,0.0,0.0,2018-06-03T05:20:00.000+03:00
283,0.5435,0.046,0.872,0.082,2018-06-03T05:12:00.000+03:00
284,0.4215,0.0,0.872,0.128,2018-06-03T05:10:00.000+03:00
285,0.0,0.0,1.0,0.0,2018-06-03T05:08:00.000+03:00
286,0.985,0.009,0.866,0.125,2018-06-03T05:04:00.000+03:00
287,0.5574,0.0,0.854,0.146,2018-06-03T05:02:00.000+03:00
288,0.4497,0.0,0.952,0.048,2018-06-03T04:59:00.000+03:00
289,0.4023,0.086,0.811,0.103,2018-06-03T04:54:00.000+03:00
290,0.6124,0.0,0.911,0.089,2018-06-03T04:53:00.000+03:00
291,0.0,0.0,1.0,0.0,2018-06-03T04:53:00.000+03:00
292,0.9906,0.04,0.863,0.097,2018-06-03T04:52:00.000+03:00
293,0.0,0.0,0.0,0.0,2018-06-03T04:51:00.000+03:00
294,0.0,0.0,0.0,0.0,2018-06-03T04:51:00.000+03:00
295,0.0,0.0,0.0,0.0,2018-06-03T04:51:00.000+03:00
